date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:58	9172/9172	---M--	200	added ('OK')	image/png	etag:%22ed2e905cc4c89a3731de3108e8fb7deb%22	https://play.geforcenow.com/mall/assets/icons/GFN-Logo-180.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/icons/GFN-Logo-180.png	(from https://play.geforcenow.com/mall/)
18:51:59	406670/406670	---M--	200	added ('OK')	image/png	etag:%22c5826d74ed7a6fb543c75bcc6a35180d%22	https://play.geforcenow.com/mall/assets/img/splash_iPad129Pro_landscape_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPad129Pro_landscape_v3.png	(from https://play.geforcenow.com/mall/)
18:52:00	462118/462118	---M--	200	added ('OK')	image/png	etag:%2275b4f67927b89cebfa68003057ebc8b0%22	https://play.geforcenow.com/mall/assets/img/splash_iPad129Pro_portrait_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPad129Pro_portrait_v3.png	(from https://play.geforcenow.com/mall/)
18:52:00	699253/699253	---M--	200	added ('OK')	image/png	etag:%2279699b0bd95ce9de5848a826c08520e6%22	https://play.geforcenow.com/mall/assets/img/splash_iPad110Pro_landscape_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPad110Pro_landscape_v3.png	(from https://play.geforcenow.com/mall/)
18:52:01	890280/890280	---M--	200	added ('OK')	image/png	etag:%226e1801f5952673868ef679ccd6032ac6%22	https://play.geforcenow.com/mall/assets/img/splash_iPad110Pro_portrait_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPad110Pro_portrait_v3.png	(from https://play.geforcenow.com/mall/)
18:52:02	720548/720548	---M--	200	added ('OK')	image/png	etag:%2289771bb1d1d8311e0f26218bea46674d%22	https://play.geforcenow.com/mall/assets/img/splash_iPad105Air_landscape_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPad105Air_landscape_v3.png	(from https://play.geforcenow.com/mall/)
18:52:02	384205/384205	---M--	200	added ('OK')	image/png	etag:%227572b12a2209e3714a7d2edc9ed09a29%22	https://play.geforcenow.com/mall/assets/img/splash_iPad105Air_portrait_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPad105Air_portrait_v3.png	(from https://play.geforcenow.com/mall/)
18:52:02	709293/709293	---M--	200	added ('OK')	image/png	etag:%2271b1d156b16ba244ef2dd40db1957920%22	https://play.geforcenow.com/mall/assets/img/splash_iPad109Air_landscape_v4.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPad109Air_landscape_v4.png	(from https://play.geforcenow.com/mall/)
18:52:03	344502/344502	---M--	200	added ('OK')	image/png	etag:%22b0939f6f5351adddd4bb239521797b82%22	https://play.geforcenow.com/mall/assets/img/splash_iPad109Air_portrait_v4.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPad109Air_portrait_v4.png	(from https://play.geforcenow.com/mall/)
18:52:03	721833/721833	---M--	200	added ('OK')	image/png	etag:%22000438304eac9c619221d2681962a054%22	https://play.geforcenow.com/mall/assets/img/splash_iPad102_landscape_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPad102_landscape_v3.png	(from https://play.geforcenow.com/mall/)
